4.60	3.10	1.50	0.20	1
5.00	3.60	1.40	0.20	1
5.40	3.90	1.70	0.40	1
4.60	3.40	1.40	0.30	1
5.40	3.90	1.30	0.40	1
5.10	3.50	1.40	0.30	1
5.00	3.20	1.20	0.20	1
5.50	3.50	1.30	0.20	1
4.90	3.10	1.50	0.10	1
4.40	3.00	1.30	0.20	1
5.10	3.40	1.50	0.20	1
5.00	3.50	1.30	0.30	1
4.50	2.30	1.30	0.30	1
5.10	3.80	1.90	0.40	1
4.80	3.00	1.40	0.30	1
5.10	3.80	1.60	0.20	1
4.60	3.20	1.40	0.20	1
5.30	3.70	1.50	0.20	1
5.00	3.30	1.40	0.20	1
7.00	3.20	4.70	1.40	2
6.40	3.20	4.50	1.50	2
6.90	3.10	4.90	1.50	2
5.50	2.30	4.00	1.30	2
5.70	2.80	4.50	1.30	2
6.30	3.30	4.70	1.60	2
5.60	2.70	4.20	1.30	2
5.70	3.00	4.20	1.20	2
5.70	2.90	4.20	1.30	2
6.20	2.90	4.30	1.30	2
5.10	2.50	3.00	1.10	2
5.70	2.80	4.10	1.30	2
6.30	3.30	6.00	2.50	3
5.80	2.70	5.10	1.90	3
7.10	3.00	5.90	2.10	3
6.30	2.90	5.60	1.80	3
6.50	3.00	5.80	2.20	3
6.50	3.00	5.20	2.00	3
6.20	3.40	5.40	2.30	3
5.90	3.00	5.10	1.80	3
4.70	3.20	1.30	0.20	1
4.90	3.10	1.50	0.10	1
5.80	4.00	1.20	0.20	1
4.40	3.20	1.30	0.20	1
5.00	3.50	1.60	0.60	1
6.50	2.80	4.60	1.50	2
6.40	2.80	5.60	2.20	3
6.30	2.80	5.10	1.50	3
6.10	2.60	5.60	1.40	3
7.70	3.00	6.10	2.30	3
6.30	3.40	5.60	2.40	3
