5.10	3.50	1.40	0.20	1
4.90	3.00	1.40	0.20	1
5.70	3.80	1.70	0.30	1
5.10	3.80	1.50	0.30	1
5.40	3.40	1.70	0.20	1
5.10	3.70	1.50	0.40	1
4.60	3.60	1.00	0.20	1
5.10	3.30	1.70	0.50	1
4.80	3.40	1.90	0.20	1
5.00	3.00	1.60	0.20	1
5.00	3.40	1.60	0.40	1
5.20	3.50	1.50	0.20	1
5.20	3.40	1.40	0.20	1
4.70	3.20	1.60	0.20	1
4.80	3.10	1.60	0.20	1
5.40	3.40	1.50	0.40	1
5.20	4.10	1.50	0.10	1
5.50	4.20	1.40	0.20	1
4.90	3.10	1.50	0.10	1
4.90	2.40	3.30	1.00	2
5.20	2.70	3.90	1.40	2
5.00	2.00	3.50	1.00	2
5.90	3.00	4.20	1.50	2
6.00	2.20	4.00	1.00	2
6.10	2.90	4.70	1.40	2
5.60	2.90	3.60	1.30	2
6.70	3.10	4.40	1.40	2
5.60	3.00	4.50	1.50	2
5.80	2.70	4.10	1.00	2
6.20	2.20	4.50	1.50	2
5.60	2.50	3.90	1.10	2
5.90	3.20	4.80	1.80	2
6.10	2.80	4.00	1.30	2
6.30	2.50	4.90	1.50	2
6.10	2.80	4.70	1.20	2
6.40	2.90	4.30	1.30	2
6.60	3.00	4.40	1.40	2
6.70	3.00	5.00	1.70	2
5.70	2.60	3.50	1.00	2
5.50	2.40	3.80	1.10	2
5.50	2.40	3.70	1.00	2
5.80	2.70	3.90	1.20	2
6.00	2.70	5.10	1.60	2
5.40	3.00	4.50	1.50	2
6.70	3.10	4.70	1.50	2
6.30	2.30	4.40	1.30	2
5.60	3.00	4.10	1.30	2
5.50	2.50	4.00	1.30	2
5.50	2.60	4.40	1.20	2
6.10	3.00	4.60	1.40	2
5.80	2.60	4.00	1.20	2
5.00	2.30	3.30	1.00	2
7.60	3.00	6.60	2.10	3
4.90	2.50	4.50	1.70	3
7.30	2.90	6.30	1.80	3
6.70	2.50	5.80	1.80	3
7.20	3.60	6.10	2.50	3
6.50	3.20	5.10	2.00	3
6.40	2.70	5.30	1.90	3
6.80	3.00	5.50	2.10	3
5.70	2.50	5.00	2.00	3
5.80	2.80	5.10	2.40	3
6.40	3.20	5.30	2.30	3
7.70	3.80	6.70	2.20	3
5.60	2.80	4.90	2.00	3
7.70	2.80	6.70	2.00	3
6.30	2.70	4.90	1.80	3
6.70	3.30	5.70	2.10	3
7.20	3.20	6.00	1.80	3
6.10	3.00	4.90	1.80	3
6.40	2.80	5.60	2.10	3
7.20	3.00	5.80	1.60	3
7.40	2.80	6.10	1.90	3
7.90	3.80	6.40	2.00	3
6.00	3.00	4.80	1.80	3
6.90	3.10	5.40	2.10	3
6.70	3.10	5.60	2.40	3
6.90	3.10	5.10	2.30	3
5.80	2.70	5.10	1.90	3
6.80	3.20	5.90	2.30	3
6.60	2.90	4.60	1.30	2
6.80	2.80	4.80	1.40	2
6.00	2.90	4.50	1.50	2
6.00	3.40	4.50	1.60	2
6.50	3.00	5.50	1.80	3
7.70	2.60	6.90	2.30	3
6.00	2.20	5.00	1.50	3
6.90	3.20	5.70	2.30	3
6.20	2.80	4.80	1.80	3
6.40	3.10	5.50	1.80	3
6.70	3.30	5.70	2.50	3
6.70	3.00	5.20	2.30	3
6.30	2.50	5.00	1.90	3
4.40	2.90	1.40	0.20	1
5.40	3.70	1.50	0.20	1
4.80	3.40	1.60	0.20	1
4.80	3.00	1.40	0.10	1
5.00	3.40	1.50	0.20	1
4.30	3.00	1.10	0.10	1
5.70	4.40	1.50	0.40	1
